expo,table,project,sponsors,link,category,special
1,69,MagicalDearthOfLogic,Best Solo Hack,http://hackru-s16.devpost.com/submissions/52832-magicaldearthoflogic,,
1,70,EasyA,"Best Developer Tool from Github, Best Solo Hack, Verizon Sponsorship Prize, Best Educational Hack from DonorsChoose.org, Best Rutgers Hack",http://hackru-s16.devpost.com/submissions/52833-easya,,
1,71,"Rock, Paper, Scissors, Leap",Best Hardware Hack,http://hackru-s16.devpost.com/submissions/52834-rock-paper-scissors-leap,,
1,72,soycasino,"Best Use of AWS, Best Use of Capital One API, Best Domain Name from Domain.com, Funniest Hack",http://hackru-s16.devpost.com/submissions/52835-soycasino,,
1,73,HackRUX,"Best Use of API from Scriptr.io, Best IoT Hack from Rutgers Division of Continuing Studies, Best Hardware Hack",http://hackru-s16.devpost.com/submissions/52840-hackrux,,
1,74,Tracker,"The Most Innovative Embedded Application from L-3 Communications, Best Use of Edison from Intel Corp, Best Use of AWS, Best Hardware Hack, Verizon Sponsorship Prize",http://hackru-s16.devpost.com/submissions/52841-tracker,,
1,75,HackRU2016,"Best Solo Hack, Best First Hackathon Project, Verizon Sponsorship Prize, Best Educational Hack from DonorsChoose.org",http://hackru-s16.devpost.com/submissions/52845-hackru2016,,
1,76,Time and PUNishment,"Best Use of Twilio API, Best First Hackathon Project, Best Domain Name from Domain.com, Funniest Hack",http://hackru-s16.devpost.com/submissions/52846-time-and-punishment,,
1,77,Gains,"Best First Hackathon Project, Best Rutgers Hack, Funniest Hack",http://hackru-s16.devpost.com/submissions/52847-gains,,
1,78,ClapCam,"The Most Innovative Embedded Application from L-3 Communications, Best Use of Edison from Intel Corp",http://hackru-s16.devpost.com/submissions/52849-clapcam,,
1,79,Cheers,"Best IoT Hack from Rutgers Division of Continuing Studies, Best Hardware Hack, Best Health Hack from Merck, Best Use of Capital One API, Funniest Hack",http://hackru-s16.devpost.com/submissions/52851-cheers,,
1,80,Wikilio,Best Use of Twilio API,http://hackru-s16.devpost.com/submissions/52852-wikilio,,
